#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.59,0.00
0.00,107.48,40.05,-0.59
0.00,23.83,136.99,29.55
0.00,19.24,174.02,19.11
0.00,22.27,127.92,5.05
0.00,0.00,4.22,58.86
-0.49,25.97,-0.49,0.00
16.55,137.31,45.59,-0.49
84.59,173.92,82.24,36.01
75.35,35.85,219.14,93.80
55.75,1.97,0.54,169.89
-0.59,0.00,-0.59,63.31
0.25,60.56,-0.59,0.00
2.21,164.59,20.26,-0.36
-0.20,216.98,25.00,20.20
275.26,241.78,177.64,226.21
24.96,12.59,-0.20,210.53
6.99,0.00,-0.67,158.25
10.08,-0.49,0.00,0.00
121.61,6.77,0.00,-0.39
125.51,13.97,0.00,24.12
218.59,16.38,0.00,38.87
-0.36,-0.49,0.00,81.74
16.93,0.00,0.00,-0.59
